iter	Passed	Remaining
0	24	24551
1	40	20328
2	57	19043
3	75	18901
4	94	18800
5	111	18533
6	128	18246
7	146	18214
8	163	17976
9	181	17997
10	198	17823
11	216	17798
12	234	17812
13	252	17749
14	269	17713
15	287	17651
16	305	17658
17	323	17633
18	341	17642
19	359	17611
20	377	17612
21	395	17587
22	413	17560
23	431	17566
24	449	17532
25	467	17515
26	486	17529
27	505	17541
28	523	17537
29	543	17589
30	562	17571
31	579	17541
32	596	17492
33	615	17492
34	633	17461
35	651	17440
36	669	17417
37	685	17364
38	704	17350
39	721	17314
40	739	17308
41	758	17300
42	775	17265
43	793	17235
44	809	17188
45	827	17155
46	843	17100
47	859	17039
48	875	16994
49	890	16927
50	908	16896
51	924	16862
52	941	16830
53	958	16798
54	975	16752
55	990	16697
56	1006	16648
57	1023	16628
58	1040	16589
59	1056	16552
60	1072	16508
61	1088	16462
62	1105	16441
63	1121	16396
64	1137	16366
65	1153	16326
66	1169	16290
67	1187	16269
68	1203	16233
69	1220	16216
70	1237	16192
71	1253	16151
72	1268	16114
73	1285	16080
74	1303	16082
75	1320	16059
76	1337	16030
77	1353	16001
78	1368	15958
79	1384	15925
80	1401	15901
81	1417	15868
82	1435	15861
83	1451	15829
84	1468	15809
85	1486	15801
86	1503	15775
87	1518	15740
88	1536	15729
89	1553	15703
90	1571	15697
91	1586	15661
92	1602	15627
93	1617	15593
94	1634	15568
95	1650	15545
96	1666	15518
97	1684	15503
98	1699	15467
99	1716	15451
100	1731	15416
101	1751	15419
102	1768	15397
103	1787	15396
104	1804	15383
105	1822	15371
106	1838	15339
107	1853	15307
108	1869	15283
109	1885	15254
110	1901	15231
111	1918	15207
112	1935	15191
113	1951	15169
114	1967	15142
115	1983	15116
116	2000	15096
117	2017	15076
118	2033	15057
119	2051	15044
120	2067	15020
121	2084	15000
122	2100	14976
123	2117	14958
124	2133	14933
125	2149	14912
126	2166	14895
127	2184	14878
128	2199	14850
129	2216	14831
130	2232	14811
131	2248	14785
132	2265	14768
133	2280	14738
134	2296	14717
135	2312	14692
136	2329	14674
137	2345	14651
138	2363	14638
139	2382	14636
140	2401	14632
141	2419	14617
142	2437	14610
143	2455	14594
144	2475	14594
145	2494	14589
146	2512	14579
147	2530	14565
148	2546	14544
149	2564	14531
150	2582	14519
151	2601	14511
152	2617	14488
153	2633	14468
154	2650	14449
155	2668	14435
156	2685	14417
157	2701	14396
158	2718	14377
159	2733	14351
160	2750	14335
161	2770	14330
162	2787	14316
163	2804	14294
164	2821	14279
165	2838	14260
166	2857	14251
167	2874	14237
168	2893	14230
169	2909	14207
170	2927	14194
171	2943	14171
172	2960	14150
173	2977	14136
174	2994	14115
175	3011	14098
176	3028	14081
177	3046	14067
178	3063	14051
179	3082	14043
180	3099	14024
181	3115	14004
182	3134	13992
183	3153	13984
184	3170	13965
185	3187	13948
186	3207	13943
187	3225	13930
188	3242	13913
189	3258	13891
190	3274	13871
191	3294	13862
192	3311	13847
193	3330	13838
194	3347	13817
195	3364	13800
196	3379	13775
197	3397	13762
198	3414	13742
199	3430	13723
200	3449	13711
201	3465	13689
202	3482	13672
203	3501	13662
204	3520	13652
205	3538	13639
206	3555	13618
207	3573	13605
208	3589	13583
209	3604	13560
210	3620	13537
211	3636	13516
212	3655	13506
213	3673	13490
214	3688	13468
215	3704	13446
216	3720	13426
217	3738	13409
218	3755	13392
219	3771	13371
220	3789	13357
221	3806	13338
222	3824	13325
223	3842	13310
224	3860	13296
225	3876	13276
226	3894	13260
227	3910	13242
228	3928	13226
229	3947	13217
230	3964	13199
231	3981	13181
232	3999	13164
